Done Abalone
Iteration: 0 | New Error: 1.0061129206902122

Iteration: 4 | Best Mean-Squared-Error: 0.8043408192625979

Iteration: 0 | New Error: 1.0059792006899533

Iteration: 3 | Best Mean-Squared-Error: 0.7940187616709944

Iteration: 0 | New Error: 1.0059451062934182

Iteration: 1 | Best Mean-Squared-Error: 1.0059451062934182

Iteration: 0 | New Error: 1.0060547065268397

Iteration: 1 | Best Mean-Squared-Error: 1.0060547065268397

Iteration: 0 | New Error: 1.006083546732715

Iteration: 2 | Best Mean-Squared-Error: 0.7834884880234355

Iteration: 0 | New Error: 1.0060718124230288

Iteration: 2 | Best Mean-Squared-Error: 0.7806735491731188

Iteration: 0 | New Error: 1.0060155944828562

Iteration: 1 | Best Mean-Squared-Error: 1.0060155944828562

Iteration: 0 | New Error: 1.0061207325609411

Iteration: 1 | Best Mean-Squared-Error: 1.0061207325609411

Iteration: 0 | New Error: 1.006070884116011

Iteration: 1 | Best Mean-Squared-Error: 1.006070884116011

Iteration: 0 | New Error: 1.0060348774674341

Iteration: 1 | Best Mean-Squared-Error: 1.0060348774674341

Iteration: 0 | New Error: 1.0060817192652232

Iteration: 1 | Best Mean-Squared-Error: 1.0060817192652232

Iteration: 0 | New Error: 1.0060350796295294

Iteration: 1 | Best Mean-Squared-Error: 1.0060350796295294

Iteration: 0 | New Error: 1.0062423338907112

Iteration: 1 | Best Mean-Squared-Error: 1.0062423338907112

Iteration: 0 | New Error: 1.006131897092441

Iteration: 3 | Best Mean-Squared-Error: 0.8200723416231728

Iteration: 0 | New Error: 1.0061226607209957

Iteration: 1 | Best Mean-Squared-Error: 1.0061226607209957

Iteration: 0 | New Error: 1.0058373552271558

Iteration: 1 | Best Mean-Squared-Error: 1.0058373552271558

Iteration: 0 | New Error: 1.0060489205254939

Iteration: 1 | Best Mean-Squared-Error: 1.0060489205254939

Iteration: 0 | New Error: 1.0060194827949105

Iteration: 1 | Best Mean-Squared-Error: 1.0060194827949105

