Done Forest Fires
Iteration: 0 | New Error: 0.524727619071648

Iteration: 5 | Best Mean-Squared-Error: 0.5243958031005905

Iteration: 0 | New Error: 0.5252062164861298

Iteration: 1 | Best Mean-Squared-Error: 0.5252062164861298

Iteration: 0 | New Error: 0.5251033512893353

Iteration: 1 | Best Mean-Squared-Error: 0.5251033512893353

Iteration: 0 | New Error: 0.5245064044369604

Iteration: 4 | Best Mean-Squared-Error: 0.5243924046183654

Iteration: 0 | New Error: 0.5248581552213766

Iteration: 1 | Best Mean-Squared-Error: 0.5248581552213766

Iteration: 0 | New Error: 0.5253390129308148

Iteration: 1 | Best Mean-Squared-Error: 0.5253390129308148

Iteration: 0 | New Error: 0.5251748358154636

Iteration: 1 | Best Mean-Squared-Error: 0.5251748358154636

Iteration: 0 | New Error: 0.5245045122799319

Iteration: 1 | Best Mean-Squared-Error: 0.5245045122799319

Iteration: 0 | New Error: 0.5246430105806529

Iteration: 1 | Best Mean-Squared-Error: 0.5246430105806529

Iteration: 0 | New Error: 0.5250234098302292

Iteration: 1 | Best Mean-Squared-Error: 0.5250234098302292

Iteration: 0 | New Error: 0.5259037710824106

Iteration: 1 | Best Mean-Squared-Error: 0.5259037710824106

Iteration: 0 | New Error: 0.5245874592953458

Iteration: 1 | Best Mean-Squared-Error: 0.5245874592953458

Iteration: 0 | New Error: 0.524429300288526

Iteration: 1 | Best Mean-Squared-Error: 0.524429300288526

Iteration: 0 | New Error: 0.524573190538714

Iteration: 1 | Best Mean-Squared-Error: 0.524573190538714

Iteration: 0 | New Error: 0.5247614404746136

Iteration: 7 | Best Mean-Squared-Error: 0.524392640826878

Iteration: 0 | New Error: 0.5253327140766124

Iteration: 7 | Best Mean-Squared-Error: 0.5243827228128061

Iteration: 0 | New Error: 0.5251156631689897

Iteration: 1 | Best Mean-Squared-Error: 0.5251156631689897

Iteration: 0 | New Error: 0.5250312772644175

Iteration: 5 | Best Mean-Squared-Error: 0.5243884511096578

Iteration: 0 | New Error: 0.5245761472418818

Iteration: 1 | Best Mean-Squared-Error: 0.5245761472418818

Iteration: 0 | New Error: 0.5244827329718644

Iteration: 1 | Best Mean-Squared-Error: 0.5244827329718644

Iteration: 0 | New Error: 0.5258782006814378

Iteration: 1 | Best Mean-Squared-Error: 0.5258782006814378

Iteration: 0 | New Error: 0.5244721263467602

Iteration: 1 | Best Mean-Squared-Error: 0.5244721263467602

Iteration: 0 | New Error: 0.5245008875209601

Iteration: 1 | Best Mean-Squared-Error: 0.5245008875209601

Iteration: 0 | New Error: 0.5258383231892938

Iteration: 1 | Best Mean-Squared-Error: 0.5258383231892938

Iteration: 0 | New Error: 0.5257178892896314

Iteration: 1 | Best Mean-Squared-Error: 0.5257178892896314

