Done Machine
Iteration: 0 | New Error: 0.8954872782710518
Iteration: 50 | New Error: 0.4987111537254437

Iteration: 75 | Best Mean-Squared-Error: 0.4888680505756653

Iteration: 0 | New Error: 0.8957880136404784

Iteration: 13 | Best Mean-Squared-Error: 0.7048396696424475

Iteration: 0 | New Error: 0.8954467090353455

Iteration: 13 | Best Mean-Squared-Error: 0.5936622768822667

Iteration: 0 | New Error: 0.895899081389366

Iteration: 12 | Best Mean-Squared-Error: 0.5287743023792669

Iteration: 0 | New Error: 0.8954938161887968

Iteration: 12 | Best Mean-Squared-Error: 0.4894465289849266

Iteration: 0 | New Error: 0.8956052182612659

Iteration: 11 | Best Mean-Squared-Error: 0.4674359912555332

Iteration: 0 | New Error: 0.895613258939769

Iteration: 11 | Best Mean-Squared-Error: 0.44762367798753006

Iteration: 0 | New Error: 0.8956686347437044

Iteration: 11 | Best Mean-Squared-Error: 0.44012484726438844

Iteration: 0 | New Error: 0.8955236423995396

Iteration: 10 | Best Mean-Squared-Error: 0.430057381442897

Iteration: 0 | New Error: 0.8958096505609526

Iteration: 10 | Best Mean-Squared-Error: 0.4284260126597241

Iteration: 0 | New Error: 0.8955149978828472

Iteration: 1 | Best Mean-Squared-Error: 0.8955149978828472

Iteration: 0 | New Error: 0.8955047642102923

Iteration: 2 | Best Mean-Squared-Error: 0.7142674968448882

Iteration: 0 | New Error: 0.8955268602908464

Iteration: 2 | Best Mean-Squared-Error: 0.620607089580552

Iteration: 0 | New Error: 0.8957991121774074

Iteration: 3 | Best Mean-Squared-Error: 0.4724592560986287

Iteration: 0 | New Error: 0.8954333587301053

Iteration: 2 | Best Mean-Squared-Error: 0.4569871297321132

Iteration: 0 | New Error: 0.8954475936224161

Iteration: 3 | Best Mean-Squared-Error: 0.45391857189166523

Iteration: 0 | New Error: 0.8955370776502076

Iteration: 3 | Best Mean-Squared-Error: 0.4491546588809332

Iteration: 0 | New Error: 0.8953029507122865

Iteration: 2 | Best Mean-Squared-Error: 0.4227925282432514

Iteration: 0 | New Error: 0.8955203930340361

Iteration: 3 | Best Mean-Squared-Error: 0.44928856783430887

Iteration: 0 | New Error: 0.8956648904091914

Iteration: 2 | Best Mean-Squared-Error: 0.42936475303499366

Iteration: 0 | New Error: 0.8956623198054618

Iteration: 3 | Best Mean-Squared-Error: 0.49976448954586467

Iteration: 0 | New Error: 0.8954503444811946

Iteration: 2 | Best Mean-Squared-Error: 0.5013118771702214

Iteration: 0 | New Error: 0.8954646523198232

Iteration: 1 | Best Mean-Squared-Error: 0.8954646523198232

Iteration: 0 | New Error: 0.8958312154175289

Iteration: 1 | Best Mean-Squared-Error: 0.8958312154175289

Iteration: 0 | New Error: 0.895698229175348

Iteration: 1 | Best Mean-Squared-Error: 0.895698229175348

Iteration: 0 | New Error: 0.8958361255750259

Iteration: 1 | Best Mean-Squared-Error: 0.8958361255750259

Iteration: 0 | New Error: 0.89572907138379

Iteration: 1 | Best Mean-Squared-Error: 0.89572907138379

Iteration: 0 | New Error: 0.8955790855523944

Iteration: 4 | Best Mean-Squared-Error: 0.5115596922386165

Iteration: 0 | New Error: 0.8954644815862637

Iteration: 1 | Best Mean-Squared-Error: 0.8954644815862637

Iteration: 0 | New Error: 0.8955376510036087

Iteration: 1 | Best Mean-Squared-Error: 0.8955376510036087

Iteration: 0 | New Error: 0.8953915950791032

Iteration: 2 | Best Mean-Squared-Error: 0.5800119314866323

Iteration: 0 | New Error: 0.8957620547346707

Iteration: 1 | Best Mean-Squared-Error: 0.8957620547346707

Iteration: 0 | New Error: 0.8954782595477058

Iteration: 1 | Best Mean-Squared-Error: 0.8954782595477058

