Done Forest Fires
Iteration: 0 | New Error: 0.52496940304656

Iteration: 1 | Best Mean-Squared-Error: 0.52496940304656

Iteration: 0 | New Error: 0.5244510365432288

Iteration: 1 | Best Mean-Squared-Error: 0.5244510365432288

Iteration: 0 | New Error: 0.5245906700499907

Iteration: 1 | Best Mean-Squared-Error: 0.5245906700499907

Iteration: 0 | New Error: 0.5273663522517651

Iteration: 1 | Best Mean-Squared-Error: 0.5273663522517651

Iteration: 0 | New Error: 0.524605495139458

Iteration: 1 | Best Mean-Squared-Error: 0.524605495139458

Iteration: 0 | New Error: 0.5246919872738418

Iteration: 1 | Best Mean-Squared-Error: 0.5246919872738418

Iteration: 0 | New Error: 0.524504760135302

Iteration: 1 | Best Mean-Squared-Error: 0.524504760135302

Iteration: 0 | New Error: 0.5249645383197371
Done Forest Fires
