Done Machine
Particles 4	Inertia 1.0	CogBias 0.001	SocBias 1.0
Output: -0.5454310150184477 | Original: -0.6209086814118165
Output: -0.8844627286042037 | Original: -0.5835128077030408
Output: -0.2415592096058803 | Original: -0.5461169339942652
Output: -0.3697854987427353 | Original: -0.5211863515217481
Output: -0.6216877869575573 | Original: -0.5087210602854896
Output: -0.1903145864039978 | Original: -0.47755783219484316
Output: -0.44126145338438894 | Original: -0.45885989534045535
Output: -0.3711057516813401 | Original: -0.43392931286793823
Output: -0.31209586163280983 | Original: -0.4089987303954212
Output: -0.4238183278867891 | Original: -0.37783550230477475
Output: 0.4890468865125977 | Original: -0.34043962859599913
Output: 0.9899802120055193 | Original: -0.27811317241470634
Output: -1.0607675979662905 | Original: -0.2407172987059307
Output: -0.5853498062749269 | Original: -0.18462348814276722
Output: -0.6457702713109196 | Original: 0.02105381725549887
Output: -0.2567675873892023 | Original: 0.18933524894498932
Output: 0.1740230078739674 | Original: 0.5134328210877116
Output: -0.02285572253445428 | Original: 0.9559506599748901
Output: 2.680277290984477 | Original: 1.8160557552767302
Overall Mean-Squared Error for Fold 0: 0.31136585912921666

