Done Abalone
Iteration: 0 | New Error: 1.0090191816794007

Iteration: 10 | Best Mean-Squared-Error: 0.4874102114569669

Iteration: 0 | New Error: 0.9785940017706907

Iteration: 3 | Best Mean-Squared-Error: 0.4981848669350322

Iteration: 0 | New Error: 1.0400264054555608

Iteration: 2 | Best Mean-Squared-Error: 0.8404963095516448

Iteration: 0 | New Error: 1.0037121855123998

Iteration: 1 | Best Mean-Squared-Error: 1.0037121855123998

Iteration: 0 | New Error: 0.988874111584605

Iteration: 7 | Best Mean-Squared-Error: 0.4897094638109866

Iteration: 0 | New Error: 0.9967350686735146

Iteration: 2 | Best Mean-Squared-Error: 0.49148593257933315

Iteration: 0 | New Error: 1.0301753400670277

Iteration: 1 | Best Mean-Squared-Error: 1.0301753400670277

Iteration: 0 | New Error: 1.0212496101557393

Iteration: 1 | Best Mean-Squared-Error: 1.0212496101557393

Iteration: 0 | New Error: 1.0165810829718778

Iteration: 12 | Best Mean-Squared-Error: 0.4851675958993144

Iteration: 0 | New Error: 1.0061291714653637

Iteration: 5 | Best Mean-Squared-Error: 0.4965350657717764

Iteration: 0 | New Error: 1.0010697714908048

Iteration: 1 | Best Mean-Squared-Error: 1.0010697714908048

Iteration: 0 | New Error: 0.9792914843292766

Iteration: 1 | Best Mean-Squared-Error: 0.9792914843292766

Iteration: 0 | New Error: 1.0304743235324139

Iteration: 8 | Best Mean-Squared-Error: 0.4880916795501498

Iteration: 0 | New Error: 1.022033373231125

Iteration: 1 | Best Mean-Squared-Error: 1.022033373231125

Iteration: 0 | New Error: 1.0508259493506273

Iteration: 1 | Best Mean-Squared-Error: 1.0508259493506273

Iteration: 0 | New Error: 0.9736455780541309

Iteration: 1 | Best Mean-Squared-Error: 0.9736455780541309

Iteration: 0 | New Error: 0.9968812571479165

Iteration: 1 | Best Mean-Squared-Error: 0.9968812571479165

Iteration: 0 | New Error: 1.0168263200632448

Iteration: 1 | Best Mean-Squared-Error: 1.0168263200632448

Iteration: 0 | New Error: 1.0070455279781865

Iteration: 1 | Best Mean-Squared-Error: 1.0070455279781865

Iteration: 0 | New Error: 1.0264158569482849

Iteration: 1 | Best Mean-Squared-Error: 1.0264158569482849

Iteration: 0 | New Error: 1.0079012644419885

