Done Abalone
CrossOver 0.25
Beta 0.0
popSize 80
Output: -1.932165962429285 | Original: -2.1507912663368667
Output: -1.7640180602849833 | Original: -2.1507912663368667
Output: -1.7341803956656703 | Original: -1.8405966969186949
Output: -1.788938665346063 | Original: -1.8405966969186949
Output: -1.9433436565357143 | Original: -1.8405966969186949
Output: -1.2849377659657404 | Original: -1.8405966969186949
Output: -1.907672776346255 | Original: -1.8405966969186949
Output: -1.3679133547891857 | Original: -1.530402127500523
Output: -1.444519209434144 | Original: -1.530402127500523
Output: -1.3285357170808587 | Original: -1.530402127500523
Output: -1.2501700391493893 | Original: -1.530402127500523
Output: -0.8797955218073137 | Original: -1.530402127500523
Output: -1.5028484737300625 | Original: -1.530402127500523
Output: -1.867243517352719 | Original: -1.530402127500523
Output: -1.14401194630546 | Original: -1.530402127500523
Output: -1.7430906015048127 | Original: -1.530402127500523
Output: -1.3179473244140931 | Original: -1.530402127500523
Output: -1.2289741777302674 | Original: -1.2202075580823513
Output: -1.0503604597440068 | Original: -1.2202075580823513
Output: -0.9885385137650294 | Original: -1.2202075580823513
Output: -0.8355090521882714 | Original: -1.2202075580823513
Output: -1.0103472261423425 | Original: -1.2202075580823513
Output: -0.4795024401154109 | Original: -1.2202075580823513
Output: -1.0139370432692205 | Original: -1.2202075580823513
Output: -0.29242346232104066 | Original: -1.2202075580823513
Output: -1.019580804946857 | Original: -1.2202075580823513
Output: -0.5800704923121576 | Original: -1.2202075580823513
Output: -0.9605935072101762 | Original: -1.2202075580823513
Output: -1.3957318605978188 | Original: -1.2202075580823513
Output: -1.213624516622446 | Original: -1.2202075580823513
Output: -1.0888872441983959 | Original: -1.2202075580823513
Output: -0.7763399865011611 | Original: -1.2202075580823513
Output: -0.49989338063774436 | Original: -1.2202075580823513
Output: -1.1457375263847336 | Original: -1.2202075580823513
Output: -0.7804734065798983 | Original: -1.2202075580823513
Output: -1.2753956863431561 | Original: -1.2202075580823513
Output: -0.8497118678837091 | Original: -1.2202075580823513
Output: -1.4572806687308626 | Original: -1.2202075580823513
Output: -1.0465650698507165 | Original: -1.2202075580823513
Output: -0.2521303146435442 | Original: -1.2202075580823513
Output: -1.0261151018003027 | Original: -1.2202075580823513
Output: -0.4178562871167032 | Original: -0.9100129886641795
Output: -1.4539943860718458 | Original: -0.9100129886641795
Output: -1.0473867951895297 | Original: -0.9100129886641795
Output: -1.392769587358278 | Original: -0.9100129886641795
Output: -1.2809892011259918 | Original: -0.9100129886641795
Output: -1.0675068074864082 | Original: -0.9100129886641795
Output: -0.7964645027405688 | Original: -0.9100129886641795
Output: -0.5499541625583955 | Original: -0.9100129886641795
Output: -0.10523035043855522 | Original: -0.9100129886641795
Output: -0.6227646393015225 | Original: -0.9100129886641795
Output: -0.23980796398608178 | Original: -0.9100129886641795
Output: -1.0662405603434628 | Original: -0.9100129886641795
Output: -0.25023692864912866 | Original: -0.9100129886641795
Output: -0.21942443406227746 | Original: -0.9100129886641795
Output: -0.7646254033414467 | Original: -0.9100129886641795
Output: -0.11008057262478774 | Original: -0.9100129886641795
Output: -1.0497761862626174 | Original: -0.9100129886641795
Output: -1.4574939046341049 | Original: -0.9100129886641795
Output: -0.7502658298949714 | Original: -0.9100129886641795
Output: -0.9136299375938327 | Original: -0.9100129886641795
Output: -1.014531808773397 | Original: -0.9100129886641795
Output: -1.0338173263226706 | Original: -0.9100129886641795
Output: -0.567419136039365 | Original: -0.9100129886641795
Output: -0.7320783576776475 | Original: -0.9100129886641795
Output: 0.3494842616310586 | Original: -0.9100129886641795
Output: -0.6952234016511574 | Original: -0.9100129886641795
Output: -1.1210961434459117 | Original: -0.9100129886641795
Output: -1.0231275685091452 | Original: -0.9100129886641795
Output: 0.17721374553535602 | Original: -0.9100129886641795
Output: 0.29132193269865897 | Original: -0.9100129886641795
Output: -0.49111012040105384 | Original: -0.9100129886641795
Output: -0.30402330042288667 | Original: -0.9100129886641795
Output: -0.023329597350624703 | Original: -0.9100129886641795
Output: -0.41318653669536615 | Original: -0.9100129886641795
Output: -0.07405984562368828 | Original: -0.9100129886641795
Output: -0.8784146928150136 | Original: -0.9100129886641795
Output: -0.3387832250821452 | Original: -0.5998184192460075
Output: -0.7968682601281986 | Original: -0.5998184192460075
Output: 0.7731295903265811 | Original: -0.5998184192460075
Output: -1.0537972800645443 | Original: -0.5998184192460075
Output: -0.06938339385793232 | Original: -0.5998184192460075
Output: -0.1772679715132412 | Original: -0.5998184192460075
Output: 0.06173527231448587 | Original: -0.5998184192460075
Output: 0.8101026633404588 | Original: -0.5998184192460075
Output: -0.22381890765927087 | Original: -0.5998184192460075
Output: 0.3269620560011415 | Original: -0.5998184192460075
Output: 0.6431834371503312 | Original: -0.5998184192460075
Output: -0.659268312808944 | Original: -0.5998184192460075
Output: -0.44397303996517057 | Original: -0.5998184192460075
Output: 0.19685429640872001 | Original: -0.5998184192460075
Output: -0.2034858305328494 | Original: -0.5998184192460075
Output: 0.3349737937620696 | Original: -0.5998184192460075
Output: -0.6054481901689011 | Original: -0.5998184192460075
Output: -0.21695657871200297 | Original: -0.5998184192460075
Output: 0.07965636775211785 | Original: -0.5998184192460075
Output: 0.5200442140682849 | Original: -0.5998184192460075
Output: 0.22811889447435205 | Original: -0.5998184192460075
Output: -0.30202187878499787 | Original: -0.5998184192460075
Output: 0.38960447403827914 | Original: -0.5998184192460075
Output: 0.25166159128294335 | Original: -0.5998184192460075
Output: 0.7484058859885742 | Original: -0.5998184192460075
Output: -0.6200132629626673 | Original: -0.5998184192460075
Output: -0.7223812764165888 | Original: -0.5998184192460075
Output: -0.3881322272322798 | Original: -0.5998184192460075
Output: 0.223702868990254 | Original: -0.5998184192460075
Output: -0.7399680471077499 | Original: -0.5998184192460075
Output: 0.2538357350435704 | Original: -0.5998184192460075
Output: -0.7395318576603443 | Original: -0.5998184192460075
Output: -0.24091644261466266 | Original: -0.5998184192460075
Output: 0.30935123992593927 | Original: -0.5998184192460075
Output: -0.40495884149352984 | Original: -0.5998184192460075
Output: 0.3647824788007755 | Original: -0.5998184192460075
Output: -0.9972692667935553 | Original: -0.5998184192460075
Output: 0.10599094780200377 | Original: -0.5998184192460075
Output: -0.4033677443096194 | Original: -0.5998184192460075
Output: -1.1802061667163044 | Original: -0.5998184192460075
Output: -0.19635488057663675 | Original: -0.5998184192460075
Output: 0.5761098945815607 | Original: -0.5998184192460075
Output: -0.6154541779268632 | Original: -0.5998184192460075
Output: 0.19812619023098926 | Original: -0.5998184192460075
Output: -0.7704048963325716 | Original: -0.5998184192460075
Output: -0.4859001652711067 | Original: -0.5998184192460075
Output: -0.6197343094215794 | Original: -0.5998184192460075
Output: -0.6920864739756727 | Original: -0.5998184192460075
Output: -0.8408997826700425 | Original: -0.5998184192460075
Output: 0.17849219374518036 | Original: -0.5998184192460075
Output: 0.2908052722596203 | Original: -0.5998184192460075
Output: 0.08011671743418286 | Original: -0.28962384982783573
Output: -0.447211141747075 | Original: -0.28962384982783573
