Done Abalone
CrossOver 0.75
mutation 0.25
variance 0.1
k 44
popSize 80
Output: -1.5254791201730828 | Original: -2.1507912663368667
Output: -1.336815698924207 | Original: -2.1507912663368667
Output: -1.311079711545852 | Original: -1.8405966969186949
Output: -1.3795731026309652 | Original: -1.8405966969186949
Output: -1.5441509046949 | Original: -1.8405966969186949
Output: -0.8644456061145941 | Original: -1.8405966969186949
Output: -1.5013369169821527 | Original: -1.8405966969186949
Output: -0.967817556076814 | Original: -1.530402127500523
Output: -1.035145508184769 | Original: -1.530402127500523
Output: -0.9303832008244631 | Original: -1.530402127500523
Output: -0.924208775704998 | Original: -1.530402127500523
Output: -0.5329534054919884 | Original: -1.530402127500523
Output: -1.0872082613563765 | Original: -1.530402127500523
Output: -1.4527297718953025 | Original: -1.530402127500523
Output: -0.7375466422999924 | Original: -1.530402127500523
Output: -1.311023714994695 | Original: -1.530402127500523
Output: -0.9091127413317855 | Original: -1.530402127500523
Output: -0.8199389590676489 | Original: -1.2202075580823513
Output: -0.6435169591644528 | Original: -1.2202075580823513
Output: -0.6292846733496484 | Original: -1.2202075580823513
Output: -0.4987869660658196 | Original: -1.2202075580823513
Output: -0.6171011695269807 | Original: -1.2202075580823513
Output: -0.22469797987848283 | Original: -1.2202075580823513
Output: -0.6286353418318491 | Original: -1.2202075580823513
Output: -0.022468345601017653 | Original: -1.2202075580823513
Output: -0.6514549445518395 | Original: -1.2202075580823513
Output: -0.2166307953119459 | Original: -1.2202075580823513
Output: -0.7174539901936021 | Original: -1.2202075580823513
Output: -0.9873535925258653 | Original: -1.2202075580823513
Output: -0.824510336151968 | Original: -1.2202075580823513
Output: -0.6805588137268074 | Original: -1.2202075580823513
Output: -0.43035210402107893 | Original: -1.2202075580823513
Output: -0.21636273153950902 | Original: -1.2202075580823513
Output: -0.7534107686127699 | Original: -1.2202075580823513
Output: -0.41441148436479014 | Original: -1.2202075580823513
Output: -0.8617287341142709 | Original: -1.2202075580823513
Output: -0.45194700455976533 | Original: -1.2202075580823513
Output: -1.0173312442316815 | Original: -1.2202075580823513
Output: -0.6651493885823322 | Original: -1.2202075580823513
Output: -0.052037156649145044 | Original: -1.2202075580823513
Output: -0.637876788477373 | Original: -1.2202075580823513
Output: -0.09349468644969267 | Original: -0.9100129886641795
Output: -1.038278377564537 | Original: -0.9100129886641795
Output: -0.6647725383370928 | Original: -0.9100129886641795
Output: -0.9831617208224118 | Original: -0.9100129886641795
Output: -0.8736876402149499 | Original: -0.9100129886641795
Output: -0.6386223159437888 | Original: -0.9100129886641795
Output: -0.45614467540542314 | Original: -0.9100129886641795
Output: -0.2537939668478116 | Original: -0.9100129886641795
Output: 0.010087889068249367 | Original: -0.9100129886641795
Output: -0.318653054681418 | Original: -0.9100129886641795
Output: 0.01816645328836003 | Original: -0.9100129886641795
Output: -0.679438282465655 | Original: -0.9100129886641795
Output: -0.018791208394731362 | Original: -0.9100129886641795
Output: 0.04664037285169577 | Original: -0.9100129886641795
Output: -0.3939282560244801 | Original: -0.9100129886641795
Output: 0.15832512932615103 | Original: -0.9100129886641795
Output: -0.6576840086429093 | Original: -0.9100129886641795
Output: -1.0384736553923433 | Original: -0.9100129886641795
Output: -0.4725536416169104 | Original: -0.9100129886641795
Output: -0.5490208985706284 | Original: -0.9100129886641795
Output: -0.6199207707818969 | Original: -0.9100129886641795
Output: -0.5650953451228298 | Original: -0.9100129886641795
Output: -0.2678470541270411 | Original: -0.9100129886641795
