Done Abalone
CrossOver 0.75
mutation 0.25
variance 0.1
k 44
popSize 80
Output: 0.014503879483678584 | Original: -2.1507912663368667
Output: 0.014656081617253808 | Original: -2.1507912663368667
Output: 0.011078073548901507 | Original: -1.8405966969186949
Output: 0.017518489355789188 | Original: -1.8405966969186949
Output: 0.01641186733528615 | Original: -1.8405966969186949
Output: 0.013249706561231278 | Original: -1.8405966969186949
Output: 0.032622290227517545 | Original: -1.8405966969186949
Output: 0.01959029059316055 | Original: -1.530402127500523
Output: 0.027974493369047802 | Original: -1.530402127500523
Output: 0.24839065423553228 | Original: -1.530402127500523
Output: 0.05283062966773243 | Original: -1.530402127500523
Output: 0.015000928649667582 | Original: -1.530402127500523
Output: 0.046441093068508243 | Original: -1.530402127500523
Output: 0.022279657166831276 | Original: -1.530402127500523
Output: 0.049077957758705264 | Original: -1.530402127500523
Output: 0.030619784509546173 | Original: -1.530402127500523
Output: 0.027943841067251746 | Original: -1.530402127500523
Output: 0.07240257116790741 | Original: -1.2202075580823513
Output: 0.02416201146256346 | Original: -1.2202075580823513
Output: 0.0570908077404828 | Original: -1.2202075580823513
Output: 0.01453794536722023 | Original: -1.2202075580823513
Output: 0.19632016152558054 | Original: -1.2202075580823513
Output: 0.9120023291590681 | Original: -1.2202075580823513
Output: 0.17883277339382175 | Original: -1.2202075580823513
Output: 0.03596797781591801 | Original: -1.2202075580823513
Output: 0.16493446852767082 | Original: -1.2202075580823513
Output: 0.03269155210765405 | Original: -1.2202075580823513
Output: 0.07111566462593555 | Original: -1.2202075580823513
Output: 0.055529075119053306 | Original: -1.2202075580823513
Output: 0.011730760850747946 | Original: -1.2202075580823513
Output: 0.012175497269994966 | Original: -1.2202075580823513
Output: 0.034775665659763255 | Original: -1.2202075580823513
Output: 1.1620864019901942 | Original: -1.2202075580823513
Output: 0.10354026605808266 | Original: -1.2202075580823513
Output: 0.06129959565396378 | Original: -1.2202075580823513
Output: 0.02976928319008353 | Original: -1.2202075580823513
Output: 0.04582132823716472 | Original: -1.2202075580823513
Output: 0.20891353988866684 | Original: -1.2202075580823513
Output: 0.03605423498304605 | Original: -1.2202075580823513
Output: 0.06696231192736815 | Original: -1.2202075580823513
Output: 0.056025810913040104 | Original: -1.2202075580823513
Output: 0.8127761940580793 | Original: -0.9100129886641795
Output: 0.06857074448044626 | Original: -0.9100129886641795
Output: 0.08624158010597469 | Original: -0.9100129886641795
Output: 0.305085490114355 | Original: -0.9100129886641795
Output: 0.027865099054225875 | Original: -0.9100129886641795
Output: 0.22900548895747766 | Original: -0.9100129886641795
Output: 0.25336338036861533 | Original: -0.9100129886641795
Output: 0.3428422903941299 | Original: -0.9100129886641795
Output: 2.143714952408021 | Original: -0.9100129886641795
Output: 0.3015493777549446 | Original: -0.9100129886641795
