Done Abalone
CrossOver 0.25
Beta 0.0
popSize 80
Output: 0.06665506499722554 | Original: -2.1507912663368667
Output: 0.07901670618727157 | Original: -1.8405966969186949
Output: 0.06633542923942948 | Original: -1.8405966969186949
Output: 0.0794202399007147 | Original: -1.8405966969186949
Output: 0.08186796579392336 | Original: -1.8405966969186949
Output: 0.07866346744641393 | Original: -1.8405966969186949
Output: 0.08381487636211037 | Original: -1.8405966969186949
Output: 0.08448946807678025 | Original: -1.530402127500523
Output: 0.08150176837083098 | Original: -1.530402127500523
Output: 0.08757476271855075 | Original: -1.530402127500523
Output: 0.12032319677828275 | Original: -1.530402127500523
Output: 0.1006738346153245 | Original: -1.530402127500523
Output: 0.14443956734093794 | Original: -1.530402127500523
Output: 0.07537986052414132 | Original: -1.530402127500523
Output: 0.07451230967207599 | Original: -1.530402127500523
Output: 0.08290284584106491 | Original: -1.530402127500523
Output: 0.09110168306905551 | Original: -1.530402127500523
Output: 0.08660656377022716 | Original: -1.2202075580823513
Output: 0.08405039472653975 | Original: -1.2202075580823513
Output: 0.09942617955112254 | Original: -1.2202075580823513
Output: 0.08009785797628893 | Original: -1.2202075580823513
Output: 0.1976820609526744 | Original: -1.2202075580823513
Output: 1.2692367335158379 | Original: -1.2202075580823513
Output: 0.2174454313608227 | Original: -1.2202075580823513
Output: 0.10391784445640734 | Original: -1.2202075580823513
Output: 0.15674588880914242 | Original: -1.2202075580823513
Output: 0.09473691834220833 | Original: -1.2202075580823513
Output: 0.14505886332696238 | Original: -1.2202075580823513
Output: 0.11240391497216795 | Original: -1.2202075580823513
Output: 0.09476879507893268 | Original: -1.2202075580823513
Output: 0.08261148097644852 | Original: -1.2202075580823513
Output: 0.12106678271463252 | Original: -1.2202075580823513
Output: 0.12119412860012542 | Original: -1.2202075580823513
Output: 0.09660179981713833 | Original: -1.2202075580823513
Output: 0.11496769600030557 | Original: -1.2202075580823513
Output: 0.11427149165733973 | Original: -1.2202075580823513
Output: 0.1049709414690492 | Original: -1.2202075580823513
Output: 0.16054569122087603 | Original: -1.2202075580823513
Output: 0.09250537397357725 | Original: -1.2202075580823513
Output: 0.11384752742108709 | Original: -1.2202075580823513
Output: 0.22015658562395993 | Original: -1.2202075580823513
Output: 0.18143256470898542 | Original: -0.9100129886641795
Output: 0.10509503918465354 | Original: -0.9100129886641795
Output: 0.10850009632084455 | Original: -0.9100129886641795
Output: 0.09968592471442084 | Original: -0.9100129886641795
Output: 0.12024408045953487 | Original: -0.9100129886641795
Output: 0.19509527839167892 | Original: -0.9100129886641795
Output: 0.26187713001548235 | Original: -0.9100129886641795
Output: 0.30155800391520704 | Original: -0.9100129886641795
Output: 0.1215093117766919 | Original: -0.9100129886641795
Output: 0.1995807298724892 | Original: -0.9100129886641795
Output: 0.10755473929382962 | Original: -0.9100129886641795
Output: 0.16433153587433663 | Original: -0.9100129886641795
Output: 0.13770457141973866 | Original: -0.9100129886641795
Output: 0.12147073142836348 | Original: -0.9100129886641795
Output: 0.2541227985403445 | Original: -0.9100129886641795
Output: 0.28389665845977763 | Original: -0.9100129886641795
Output: 0.19945472624291283 | Original: -0.9100129886641795
Output: 0.14352720568263863 | Original: -0.9100129886641795
Output: 0.5511249738557022 | Original: -0.9100129886641795
Output: 0.08332934098307407 | Original: -0.9100129886641795
Output: 0.13714248764882706 | Original: -0.9100129886641795
Output: 0.10272547686411039 | Original: -0.9100129886641795
Output: 0.4905036724714141 | Original: -0.9100129886641795
Output: 0.20829143256518298 | Original: -0.9100129886641795
Output: 0.17355332240922067 | Original: -0.9100129886641795
Output: 0.13013232856780518 | Original: -0.9100129886641795
Output: 1.2553646566673637 | Original: -0.9100129886641795
Output: 0.20344615634858476 | Original: -0.9100129886641795
Output: 0.09056191375759365 | Original: -0.9100129886641795
Output: 0.5455625794741716 | Original: -0.9100129886641795
Output: 0.1180462145315794 | Original: -0.9100129886641795
