Done Forest Fires
CrossOver 0.75
mutation 0.25
variance 0.1
k 32
popSize 88
Output: 0.5003076553861063 | Original: -0.20201978829184197
Output: -0.9930648152536825 | Original: -0.20201978829184197
Output: 0.593694973394027 | Original: -0.20201978829184197
Output: 0.551267719590088 | Original: -0.20201978829184197
Output: 0.624923278249413 | Original: -0.20201978829184197
Output: 0.2538533989710224 | Original: -0.20201978829184197
Output: 0.026451497886580244 | Original: -0.20201978829184197
Output: -0.25757503263275644 | Original: -0.20201978829184197
Output: 0.18278337464480068 | Original: -0.20201978829184197
Output: 0.14417445866121176 | Original: -0.20201978829184197
Output: -0.23704845668032432 | Original: -0.20201978829184197
Output: 0.282375936083055 | Original: -0.20201978829184197
Output: 0.33614970813126216 | Original: -0.20201978829184197
Output: 0.328118508108553 | Original: -0.20201978829184197
Output: 0.5619217142596413 | Original: -0.20201978829184197
Output: -2.3818450181333937 | Original: -0.20201978829184197
Output: 0.731516312079322 | Original: -0.20201978829184197
Output: 0.7498376481936753 | Original: -0.20201978829184197
Output: 0.909464079263679 | Original: -0.20201978829184197
Output: 0.29339796761413023 | Original: -0.20201978829184197
Output: 0.7825570438627302 | Original: -0.20201978829184197
Output: 1.2233399920800856 | Original: -0.20201978829184197
Output: 0.05579823236579956 | Original: -0.20201978829184197
Output: -0.10228240594683707 | Original: -0.19525816813915425
Output: -0.05817913421299542 | Original: -0.19069800571059742
Output: 0.6347059912278825 | Original: -0.1848798674396801
Output: 0.18946678199275618 | Original: -0.17906172916876276
Output: 0.7120988131473049 | Original: -0.17544504862197632
Output: 0.7477208865558851 | Original: -0.17057039223282935
Output: 0.5417725919037832 | Original: -0.16601022980427255
Output: 1.2079362976582297 | Original: -0.15877686871069963
Output: 1.1850078894538505 | Original: -0.14981379083388105
Output: 0.3449740408149804 | Original: -0.14006447805558714
Output: 0.2069147362090542 | Original: -0.12418253304578578
Output: 0.0030672073356178275 | Original: -0.11034479877982023
Output: 0.603340731988623 | Original: -0.09918026317887076
Output: -0.1107433378659804 | Original: -0.08722949267644597
Output: 0.29906674402919586 | Original: -0.07244827652871004
Output: -0.6454809788857083 | Original: -0.04838948854356541
Output: 0.3253547757543125 | Original: -0.028104628085502265
Output: -0.17112064107598995 | Original: 0.003187520993215276
Output: 0.8913541746657052 | Original: 0.05476453052999591
Output: 0.17680905238532066 | Original: 0.18465053625371797
Output: 0.8585308004093151 | Original: 0.2725515982386582
Output: 0.5187790708184074 | Original: 0.416747079169231
Output: 0.7735274704066104 | Original: 0.7147301068283753
Output: 0.621369105781545 | Original: 1.459451805505794
Overall Mean-Squared Error for Fold 1: 0.5506115820037637

