Done Forest Fires
CrossOver 0.75
Beta 0.0
popSize 80
Output: -0.18542259415165419 | Original: -0.20201978829184197
Output: 0.1889970803365315 | Original: -0.20201978829184197
Output: 2.249335880033871 | Original: -0.20201978829184197
Output: 0.9467306958809472 | Original: -0.20201978829184197
Output: 1.0609058802975389 | Original: -0.20201978829184197
Output: 0.3365607471557556 | Original: -0.20201978829184197
Output: 0.9964763887801913 | Original: -0.20201978829184197
Output: 0.07374291307008962 | Original: -0.20201978829184197
Output: 1.9920828052284847 | Original: -0.20201978829184197
Output: 1.1254432708232431 | Original: -0.20201978829184197
Output: 0.7249064950763808 | Original: -0.20201978829184197
Output: -0.29791113101408073 | Original: -0.20201978829184197
Output: -1.6281018499691795 | Original: -0.20201978829184197
Output: -0.46797233890801804 | Original: -0.20201978829184197
Output: 1.5362128613044592 | Original: -0.20201978829184197
Output: 1.205855542192646 | Original: -0.20201978829184197
Output: 0.49996741335279576 | Original: -0.20201978829184197
Output: 1.0464190661119797 | Original: -0.20201978829184197
Output: -0.46503089519325613 | Original: -0.20201978829184197
Output: 1.5783098822484434 | Original: -0.20201978829184197
Output: 2.2755019808902888 | Original: -0.20201978829184197
Output: 0.32571566705574556 | Original: -0.20201978829184197
Output: 1.1383403900253088 | Original: -0.20201978829184197
Output: 2.158513665835537 | Original: -0.19525816813915425
Output: 0.22010185894153417 | Original: -0.19022626476971224
Output: -2.0973812222274075 | Original: -0.18472262045938503
Output: -0.7420525288679197 | Original: -0.1789044821884677
Output: 0.8952290895886501 | Original: -0.17497330768109112
Output: 1.4464406798606344 | Original: -0.1704131452525343
Output: -0.19618240658373232 | Original: -0.16506674792250217
Output: 0.7473407066756705 | Original: -0.15846237475010952
Output: 0.6172408999621671 | Original: -0.14965654385358598
Output: 2.6512136500673638 | Original: -0.13990723107529207
Output: 2.003838581716996 | Original: -0.12402528606549071
Output: 1.2698365344851716 | Original: -0.10987305783893503
Output: 1.2115766292374466 | Original: -0.09870852223798555
Output: 1.7049408793996839 | Original: -0.08707224569615091
Output: -0.31442957977721886 | Original: -0.0713475476666446
Output: 0.07048900255878321 | Original: -0.04540179591795919
Output: 3.808474896153091 | Original: -0.028104628085502265
Output: 1.0484270317141466 | Original: 0.003344767973510336
Output: 0.8181275147289525 | Original: 0.05586525939206135
Output: 1.1751639479917462 | Original: 0.1874809818990291
Output: 0.8700616564407133 | Original: 0.2747530559627891
Output: 0.9578571991773921 | Original: 0.43545946982434347
Output: 1.577913820705907 | Original: 0.7592310022518782
Output: 0.3708298267290712 | Original: 2.233421442518094
Overall Mean-Squared Error for Fold 2: 2.0243796518949084

