Done Forest Fires
CrossOver 0.75
mutation 0.25
variance 0.1
k 32
popSize 88
Output: -0.35453380414288305 | Original: -0.20201978829184197
Output: 0.341265954630581 | Original: -0.20201978829184197
Output: 1.1483812074214472 | Original: -0.20201978829184197
Output: -0.2598704153100754 | Original: -0.20201978829184197
Output: 0.4383578268175299 | Original: -0.20201978829184197
Output: -0.5428004765474983 | Original: -0.20201978829184197
Output: -0.04408906601958951 | Original: -0.20201978829184197
Output: -0.2853538986981551 | Original: -0.20201978829184197
Output: 0.6087227477761199 | Original: -0.20201978829184197
Output: 0.19938710685593253 | Original: -0.20201978829184197
Output: 0.24841918117721545 | Original: -0.20201978829184197
Output: -0.4416614403593645 | Original: -0.20201978829184197
Output: -0.7095407302560505 | Original: -0.20201978829184197
Output: -0.1377471160861497 | Original: -0.20201978829184197
Output: 1.1917057769769288 | Original: -0.20201978829184197
Output: 0.7646625026952517 | Original: -0.20201978829184197
Output: 0.4156239340990786 | Original: -0.20201978829184197
Output: 1.2335326465263534 | Original: -0.20201978829184197
Output: 0.25258870816917334 | Original: -0.20201978829184197
Output: 1.4559544421754342 | Original: -0.20201978829184197
Output: 1.1036878297210506 | Original: -0.20201978829184197
Output: 0.27733562080918917 | Original: -0.20201978829184197
Output: 0.8648604683044473 | Original: -0.20201978829184197
Output: 1.0678236178776235 | Original: -0.19525816813915425
Output: -0.18725964008654616 | Original: -0.19022626476971224
Output: -1.206034035848036 | Original: -0.18472262045938503
Output: -0.3198106421772352 | Original: -0.1789044821884677
Output: 0.2987605137684914 | Original: -0.17497330768109112
Output: 0.515884644153366 | Original: -0.1704131452525343
Output: 0.620674915505563 | Original: -0.16506674792250217
Output: 1.1381498249066286 | Original: -0.15846237475010952
Output: 0.17619144740841436 | Original: -0.14965654385358598
Output: 1.8145887389802304 | Original: -0.13990723107529207
Output: 2.0410677434801805 | Original: -0.12402528606549071
Output: 1.77396817730098 | Original: -0.10987305783893503
Output: 0.5221958797073776 | Original: -0.09870852223798555
Output: 0.2782250741552345 | Original: -0.08707224569615091
Output: -0.06601905940058661 | Original: -0.0713475476666446
Output: -0.8062063285711191 | Original: -0.04540179591795919
Output: 1.773070131774423 | Original: -0.028104628085502265
Output: 0.3322805167647107 | Original: 0.003344767973510336
Output: 0.6430458416014397 | Original: 0.05586525939206135
Output: -0.3995595669469366 | Original: 0.1874809818990291
Output: -0.5846811192783484 | Original: 0.2747530559627891
Output: 1.316457285985822 | Original: 0.43545946982434347
Output: -0.10196786593929441 | Original: 0.7592310022518782
Output: 0.4840115209820165 | Original: 2.233421442518094
Overall Mean-Squared Error for Fold 2: 0.9290036083952312

