Done Forest Fires
Iteration: 0 | New Error: 0.5221058339029719

Iteration: 10 | Best Mean-Squared-Error: 0.5092279166953666

Iteration: 0 | New Error: 0.5236384456511077

Iteration: 4 | Best Mean-Squared-Error: 0.5130187461247423

Iteration: 0 | New Error: 0.5270864180749963

Iteration: 1 | Best Mean-Squared-Error: 0.5270864180749963

Iteration: 0 | New Error: 0.5277422873846078

Iteration: 1 | Best Mean-Squared-Error: 0.5277422873846078

Iteration: 0 | New Error: 0.5247535917333784

Iteration: 6 | Best Mean-Squared-Error: 0.5103841635074947

Iteration: 0 | New Error: 0.5258121867227675

Iteration: 2 | Best Mean-Squared-Error: 0.5113947651762589

Iteration: 0 | New Error: 0.5263255817417327

Iteration: 1 | Best Mean-Squared-Error: 0.5263255817417327

Iteration: 0 | New Error: 0.5265856354068085

Iteration: 1 | Best Mean-Squared-Error: 0.5265856354068085

Iteration: 0 | New Error: 0.5242872441731823

Iteration: 12 | Best Mean-Squared-Error: 0.5088904800586932

Iteration: 0 | New Error: 0.5226359936613406

Iteration: 1 | Best Mean-Squared-Error: 0.5226359936613406

Iteration: 0 | New Error: 0.5228493663039172

Iteration: 1 | Best Mean-Squared-Error: 0.5228493663039172

Iteration: 0 | New Error: 0.5284908545347523

Iteration: 1 | Best Mean-Squared-Error: 0.5284908545347523

Iteration: 0 | New Error: 0.5271599378542224

Iteration: 9 | Best Mean-Squared-Error: 0.5093336149095865

Iteration: 0 | New Error: 0.525087244508762

Iteration: 2 | Best Mean-Squared-Error: 0.5219477880156795

Iteration: 0 | New Error: 0.5248032167436762

Iteration: 1 | Best Mean-Squared-Error: 0.5248032167436762

Iteration: 0 | New Error: 0.5231448149327173

Iteration: 1 | Best Mean-Squared-Error: 0.5231448149327173

Iteration: 0 | New Error: 0.5238359190976859

Iteration: 1 | Best Mean-Squared-Error: 0.5238359190976859

Iteration: 0 | New Error: 0.5237564373321261

Iteration: 1 | Best Mean-Squared-Error: 0.5237564373321261

Iteration: 0 | New Error: 0.5269684973014808

Iteration: 1 | Best Mean-Squared-Error: 0.5269684973014808

Iteration: 0 | New Error: 0.523750038272614

Iteration: 1 | Best Mean-Squared-Error: 0.523750038272614

Iteration: 0 | New Error: 0.525663101106221

Iteration: 3 | Best Mean-Squared-Error: 0.5121512075428548


Fold 7 | Number of Hidden Layers: 0
Number of nodes per hidden layer: []
Learning Rate: 0.01 | Momentum Constant: 0.0
Fold 7
Output: -0.026481217515339613 | Original: -0.20201978829184197
Output: -0.0916308466442927 | Original: -0.20201978829184197
Output: -0.12579462271672173 | Original: -0.20201978829184197
Output: -0.18097702678308566 | Original: -0.20201978829184197
Output: -0.16239610806929772 | Original: -0.20201978829184197
Output: -0.031604651884128254 | Original: -0.20201978829184197
Output: -0.16102568893142247 | Original: -0.20201978829184197
Output: -0.30294907358980394 | Original: -0.20201978829184197
Output: -0.2037472021943767 | Original: -0.20201978829184197
Output: -0.06422279935937733 | Original: -0.20201978829184197
Output: -0.11997788427989325 | Original: -0.20201978829184197
Output: 0.048234843811696376 | Original: -0.20201978829184197
Output: -0.14965289015515643 | Original: -0.20201978829184197
Output: -0.13356785925413198 | Original: -0.20201978829184197
Output: 0.028367560392002097 | Original: -0.20201978829184197
Output: -0.043119966991759004 | Original: -0.20201978829184197
Output: -0.2611929891525755 | Original: -0.20201978829184197
Output: -0.1914129882631604 | Original: -0.20201978829184197
Output: 0.4170500577831893 | Original: -0.20201978829184197
Output: 0.2337573917734732 | Original: -0.20201978829184197
Output: -0.08857431259306012 | Original: -0.20201978829184197
Output: 0.04449098294899781 | Original: -0.20201978829184197
Output: -0.05578830806335322 | Original: -0.20201978829184197
Output: -0.06584352716531548 | Original: -0.1955726620997444
Output: -0.28521026284058426 | Original: -0.19085525269089249
Output: -0.11893544142699032 | Original: -0.1851943614002702
Output: -0.10211899702330013 | Original: -0.17906172916876276
Output: -0.19296657290893374 | Original: -0.17623128352345163
Output: -0.001131910826772213 | Original: -0.1713566271343047
Output: -0.10855982466445814 | Original: -0.16726820564663303
Output: 0.0633066115440952 | Original: -0.1589341156909947
Output: -0.12493480083953164 | Original: -0.15012828479447116
Output: -0.10489662785334473 | Original: -0.1402217250358822
Output: -0.18858171811847324 | Original: -0.12528326190785122
Output: -0.18153867713631539 | Original: -0.11081653972070542
Output: -0.18192022000785824 | Original: -0.10075273298182137
Output: -0.162536256543427 | Original: -0.08864471549910154
Output: 0.17231590276369504 | Original: -0.07370625237107055
Output: -0.18882714331636014 | Original: -0.04933297042533576
Output: -0.07033614012574817 | Original: -0.0301488388293381
Output: -0.053863458581583 | Original: -0.003259605198882309
Output: -0.14298176111430344 | Original: 0.04957538018025885
Output: -0.10616371932837682 | Original: 0.17914689194339076
Output: -0.2487219831151179 | Original: 0.2615443096180038
Output: -0.1525774295671895 | Original: 0.4030665918835604
Output: 0.0018851567203306552 | Original: 0.6791922892816911
Output: 0.028484169347759797 | Original: 1.4237567409788146
Overall Mean-Squared Error for Fold 7: 0.09055277443656273

