Done Forest Fires
CrossOver 0.75
Beta 0.0
popSize 80
Output: 6.862171728000876 | Original: -0.20201978829184197
Output: 7.454909144405351 | Original: -0.20201978829184197
Output: 8.627278346547513 | Original: -0.20201978829184197
Output: 3.375235793326194 | Original: -0.20201978829184197
Output: 5.94800572372434 | Original: -0.20201978829184197
Output: 0.23180226962105216 | Original: -0.20201978829184197
Output: 1.5823836264722 | Original: -0.20201978829184197
Output: 5.398294147804951 | Original: -0.20201978829184197
Output: 3.6839381196477627 | Original: -0.20201978829184197
Output: 6.762937529426401 | Original: -0.20201978829184197
Output: 3.1255810338373973 | Original: -0.20201978829184197
Output: 8.501803155821598 | Original: -0.20201978829184197
Output: 9.020534802173769 | Original: -0.20201978829184197
Output: 5.5696319744485505 | Original: -0.20201978829184197
Output: 1.7416638744272293 | Original: -0.20201978829184197
Output: 3.7924606437113444 | Original: -0.20201978829184197
Output: 3.722951667721648 | Original: -0.20201978829184197
Output: 2.430264664373159 | Original: -0.20201978829184197
Output: 0.7338024025037854 | Original: -0.20201978829184197
Output: 9.21011030844929 | Original: -0.20201978829184197
Output: 7.937872903117299 | Original: -0.20201978829184197
Output: 8.211008804502885 | Original: -0.20201978829184197
Output: 7.184428841729697 | Original: -0.20201978829184197
Output: 3.496195785243027 | Original: -0.19462918021797398
Output: 8.784664268968843 | Original: -0.19006901778941718
Output: 8.844906109905683 | Original: -0.1844081264987949
Output: 5.455684670232831 | Original: -0.17811824728699238
Output: 0.6039457840800655 | Original: -0.17450156674020592
Output: 7.655262542955751 | Original: -0.17009865129194418
Output: 7.905207101136281 | Original: -0.1636515250998466
Output: 8.948439406785322 | Original: -0.15688990494715888
Output: 0.944234110659914 | Original: -0.14934204989299585
Output: 4.576080543061834 | Original: -0.1351898216664402
Output: 5.265521843657819 | Original: -0.12056585249899933
Output: 7.15919317531649 | Original: -0.10814334105568935
Output: 4.585742133336569 | Original: -0.0985512752576905
Output: 7.202902283128892 | Original: -0.08628601079467559
Output: 9.069097130278655 | Original: -0.06694463221838284
Output: 8.071296310006813 | Original: -0.04540179591795919
Output: 7.346590258307542 | Original: -0.026532158282551642
Output: 6.4569298473408985 | Original: 0.01340857471239435
Output: 5.851784836129346 | Original: 0.0684450178156664
Output: 9.079830168755151 | Original: 0.20682236047532185
Output: 3.8399655957605288 | Original: 0.2967676332040979
Output: 8.823638461253893 | Original: 0.4720980162330931
Output: 8.033408895321925 | Original: 0.8059333553995119
Output: 4.692630251437677 | Original: 2.543984228600843
Overall Mean-Squared Error for Fold 3: 41.65799739902102

