Done Machine
CrossOver 0.75
mutation 0.25
variance 0.1
k 16
popSize 84
Output: -0.526302195936238 | Original: -0.5959780989392994
Output: -0.4586981105248968 | Original: -0.5585822252305238
Output: -0.3314165031785763 | Original: -0.5398842883761359
Output: -0.3747441014841322 | Original: -0.5211863515217481
Output: -0.381187610077849 | Original: -0.496255769049231
Output: -0.3596951349686815 | Original: -0.4713251865767139
Output: -0.46339895242580637 | Original: -0.4526272497223261
Output: -0.17677081979014603 | Original: -0.427696667249809
Output: -0.17198248404255767 | Original: -0.40276608477729187
Output: -0.1838318213964905 | Original: -0.3529049198322577
Output: 0.01929006945002104 | Original: -0.32174169174161127
Output: 0.23054873337641485 | Original: -0.2656478811784478
Output: -0.212052487696423 | Original: -0.2157867162334136
Output: 0.14425093631622352 | Original: -0.12229703196147447
Output: 0.5606287538106782 | Original: 0.0646823365824038
Output: 0.23459433919512157 | Original: 0.2204984770356357
Output: 0.7886715789198603 | Original: 0.6380857334502972
Output: 1.1154702109270473 | Original: 1.068138281101217
Output: 2.4897658230488156 | Original: 2.3894591521446236
Overall Mean-Squared Error for Fold 4: 0.050793639266135976

