Done Machine
CrossOver 0.25
Beta 0.0
popSize 80
Output: -0.3866275766616051 | Original: -0.5897454533211701
Output: -0.8727200667254347 | Original: -0.5585822252305238
Output: -0.9125603124791285 | Original: -0.5336516427580067
Output: -1.0068868125454054 | Original: -0.5087210602854896
Output: -1.3750633656998263 | Original: -0.4900231234311017
Output: -0.35930109574499813 | Original: -0.45885989534045535
Output: -0.23008150938452565 | Original: -0.4463946041041968
Output: 0.47391957011845826 | Original: -0.4214640216316797
Output: -0.7204487186368942 | Original: -0.38406814792290406
Output: -0.35745820734792344 | Original: -0.3466722742141284
Output: -0.6578750389228534 | Original: -0.28434581803283565
Output: -0.09393804799271446 | Original: -0.24694994432405998
Output: -0.9210493632378935 | Original: -0.20955407061528433
Output: 0.09563547547257767 | Original: -0.03503999330766461
Output: -0.1716673710925582 | Original: 0.1644046664724722
Output: 0.21275977628925868 | Original: 0.23919641389002352
Output: 0.9845908939753419 | Original: 0.6754816071590728
Output: 1.9570104217790143 | Original: 1.3735379163895516
Output: 4.14730640568217 | Original: 3.3056580580096275
Overall Mean-Squared Error for Fold 7: 0.2226790636315341

