Done Machine
CrossOver 0.25
Beta 0.0
popSize 80
Output: 0.14775805346072937 | Original: -0.5835128077030408
Output: 0.06405726624030181 | Original: -0.5523495796123945
Output: 0.09179408134530784 | Original: -0.5274189971398774
Output: 0.0675026330549947 | Original: -0.5087210602854896
Output: 0.08133817106961481 | Original: -0.4900231234311017
Output: 0.10271930761069216 | Original: -0.45885989534045535
Output: 0.103077989675521 | Original: -0.44016195848606754
Output: 0.04800990846429157 | Original: -0.4089987303954212
Output: 0.07798780288362893 | Original: -0.37783550230477475
Output: 0.11433369010939451 | Original: -0.3466722742141284
Output: 0.11475829568000508 | Original: -0.28434581803283565
Output: 0.10230113916535456 | Original: -0.24694994432405998
Output: 0.17298529132252102 | Original: -0.1908561337608965
Output: 0.1360899797815939 | Original: -0.0038767652170182314
Output: 0.17391482754224405 | Original: 0.17063731209060148
Output: 0.2588741846903355 | Original: 0.4199431368157725
Output: 0.2531763042823275 | Original: 0.8188324563760461
Output: 0.2271284453673209 | Original: 1.6353090323509811
Output: 0.3079245129980356 | Original: 6.4718420320193
Overall Mean-Squared Error for Fold 9: 2.3132773773293596

