Done Machine
Iteration: 0 | New Error: 0.8957035391942069

Iteration: 13 | Best Mean-Squared-Error: 0.8954453777659971

Iteration: 0 | New Error: 0.8955035097026355

Iteration: 1 | Best Mean-Squared-Error: 0.8955035097026355

Iteration: 0 | New Error: 0.8954600342791289

Iteration: 2 | Best Mean-Squared-Error: 0.895452078060474

Iteration: 0 | New Error: 0.8961349074766415

Iteration: 1 | Best Mean-Squared-Error: 0.8961349074766415

Iteration: 0 | New Error: 0.8958506863600028

Iteration: 1 | Best Mean-Squared-Error: 0.8958506863600028

Iteration: 0 | New Error: 0.895886898040833

Iteration: 1 | Best Mean-Squared-Error: 0.895886898040833

Iteration: 0 | New Error: 0.895960194368569

Iteration: 1 | Best Mean-Squared-Error: 0.895960194368569

Iteration: 0 | New Error: 0.8954641028643685

Iteration: 1 | Best Mean-Squared-Error: 0.8954641028643685

Iteration: 0 | New Error: 0.8956364341865557

Iteration: 1 | Best Mean-Squared-Error: 0.8956364341865557

Iteration: 0 | New Error: 0.8957925188519409

Iteration: 1 | Best Mean-Squared-Error: 0.8957925188519409

Iteration: 0 | New Error: 0.8956077747996228

Iteration: 1 | Best Mean-Squared-Error: 0.8956077747996228

Iteration: 0 | New Error: 0.8954761792141379

Iteration: 7 | Best Mean-Squared-Error: 0.8954456630745667

Iteration: 0 | New Error: 0.8954635300262443

Iteration: 1 | Best Mean-Squared-Error: 0.8954635300262443

Iteration: 0 | New Error: 0.8959560913169903

Iteration: 7 | Best Mean-Squared-Error: 0.8954440140545925

Iteration: 0 | New Error: 0.8959129702608721

Iteration: 6 | Best Mean-Squared-Error: 0.8954464169167238

Iteration: 0 | New Error: 0.8955863154920206

Iteration: 1 | Best Mean-Squared-Error: 0.8955863154920206

Iteration: 0 | New Error: 0.8954689811992623

Iteration: 1 | Best Mean-Squared-Error: 0.8954689811992623

Iteration: 0 | New Error: 0.8958757830172491

Iteration: 1 | Best Mean-Squared-Error: 0.8958757830172491

Iteration: 0 | New Error: 0.8958138726087599

Iteration: 1 | Best Mean-Squared-Error: 0.8958138726087599

Iteration: 0 | New Error: 0.8959596920250229

Iteration: 1 | Best Mean-Squared-Error: 0.8959596920250229

Iteration: 0 | New Error: 0.8955223548025889

Iteration: 1 | Best Mean-Squared-Error: 0.8955223548025889

Iteration: 0 | New Error: 0.8956303997607797

Iteration: 1 | Best Mean-Squared-Error: 0.8956303997607797

Iteration: 0 | New Error: 0.8954722090468689

Iteration: 6 | Best Mean-Squared-Error: 0.89544623313603

Iteration: 0 | New Error: 0.8954663373701536

Iteration: 1 | Best Mean-Squared-Error: 0.8954663373701536

Iteration: 0 | New Error: 0.8956813053850768

Iteration: 1 | Best Mean-Squared-Error: 0.8956813053850768

Iteration: 0 | New Error: 0.8954909463715228

Iteration: 1 | Best Mean-Squared-Error: 0.8954909463715228

Iteration: 0 | New Error: 0.8960688153969183

Iteration: 1 | Best Mean-Squared-Error: 0.8960688153969183

Iteration: 0 | New Error: 0.8958772170742945

Iteration: 1 | Best Mean-Squared-Error: 0.8958772170742945

Iteration: 0 | New Error: 0.8957361015997902

Iteration: 1 | Best Mean-Squared-Error: 0.8957361015997902

Iteration: 0 | New Error: 0.8954447218911802

Iteration: 1 | Best Mean-Squared-Error: 0.8954447218911802

Iteration: 0 | New Error: 0.8956592990753318

Iteration: 1 | Best Mean-Squared-Error: 0.8956592990753318

Iteration: 0 | New Error: 0.8959780265790751

Iteration: 1 | Best Mean-Squared-Error: 0.8959780265790751

Iteration: 0 | New Error: 0.8955296223099425

Iteration: 1 | Best Mean-Squared-Error: 0.8955296223099425

Iteration: 0 | New Error: 0.8954502694852676

Iteration: 1 | Best Mean-Squared-Error: 0.8954502694852676

Iteration: 0 | New Error: 0.89591686900139

Iteration: 7 | Best Mean-Squared-Error: 0.8954140536410728

Iteration: 0 | New Error: 0.8954755527777719

Iteration: 1 | Best Mean-Squared-Error: 0.8954755527777719

Iteration: 0 | New Error: 0.8955699492008826

Iteration: 1 | Best Mean-Squared-Error: 0.8955699492008826

Iteration: 0 | New Error: 0.8956761069772429

Iteration: 1 | Best Mean-Squared-Error: 0.8956761069772429

Iteration: 0 | New Error: 0.8956476702249548

Iteration: 1 | Best Mean-Squared-Error: 0.8956476702249548

Iteration: 0 | New Error: 0.8956615979786714

Iteration: 1 | Best Mean-Squared-Error: 0.8956615979786714

Iteration: 0 | New Error: 0.8954568045188536

Iteration: 1 | Best Mean-Squared-Error: 0.8954568045188536

Iteration: 0 | New Error: 0.895830794562687

Iteration: 1 | Best Mean-Squared-Error: 0.895830794562687

Iteration: 0 | New Error: 0.8955257162124253

Iteration: 5 | Best Mean-Squared-Error: 0.8948783204543094

Iteration: 0 | New Error: 0.8955457564928047

Iteration: 1 | Best Mean-Squared-Error: 0.8955457564928047

Iteration: 0 | New Error: 0.8957422223742041

Iteration: 9 | Best Mean-Squared-Error: 0.8954689162854824

Iteration: 0 | New Error: 0.8955198180850149

Iteration: 1 | Best Mean-Squared-Error: 0.8955198180850149

Iteration: 0 | New Error: 0.8957220804574734

Iteration: 1 | Best Mean-Squared-Error: 0.8957220804574734

Iteration: 0 | New Error: 0.8954803247928741

Iteration: 1 | Best Mean-Squared-Error: 0.8954803247928741

Iteration: 0 | New Error: 0.8956674762774258

Iteration: 1 | Best Mean-Squared-Error: 0.8956674762774258

Iteration: 0 | New Error: 0.895694690726796

Iteration: 1 | Best Mean-Squared-Error: 0.895694690726796

Iteration: 0 | New Error: 0.8954770281889526

Iteration: 1 | Best Mean-Squared-Error: 0.8954770281889526

Iteration: 0 | New Error: 0.8960719259587888

Iteration: 1 | Best Mean-Squared-Error: 0.8960719259587888

Iteration: 0 | New Error: 0.8955614160292318

Iteration: 1 | Best Mean-Squared-Error: 0.8955614160292318

Iteration: 0 | New Error: 0.8954756396592392

Iteration: 1 | Best Mean-Squared-Error: 0.8954756396592392

Iteration: 0 | New Error: 0.8955783629119788

Iteration: 1 | Best Mean-Squared-Error: 0.8955783629119788

Iteration: 0 | New Error: 0.8954488267642496

Iteration: 1 | Best Mean-Squared-Error: 0.8954488267642496

Iteration: 0 | New Error: 0.8956784258829192

Iteration: 1 | Best Mean-Squared-Error: 0.8956784258829192

Iteration: 0 | New Error: 0.8954727602514277

Iteration: 1 | Best Mean-Squared-Error: 0.8954727602514277

Iteration: 0 | New Error: 0.895732491071338

Iteration: 6 | Best Mean-Squared-Error: 0.8951546517660263

Iteration: 0 | New Error: 0.8956742750413956

Iteration: 1 | Best Mean-Squared-Error: 0.8956742750413956

Iteration: 0 | New Error: 0.8956275371540151

Iteration: 5 | Best Mean-Squared-Error: 0.8945622644155055

Iteration: 0 | New Error: 0.8963785097451498

Iteration: 1 | Best Mean-Squared-Error: 0.8963785097451498

Iteration: 0 | New Error: 0.8959701329381733

Iteration: 1 | Best Mean-Squared-Error: 0.8959701329381733

Iteration: 0 | New Error: 0.8956275787365986

Iteration: 1 | Best Mean-Squared-Error: 0.8956275787365986

Iteration: 0 | New Error: 0.8961543999491154

Iteration: 1 | Best Mean-Squared-Error: 0.8961543999491154

Iteration: 0 | New Error: 0.8956547323392962

Iteration: 1 | Best Mean-Squared-Error: 0.8956547323392962

Iteration: 0 | New Error: 0.8955701422623467

Iteration: 1 | Best Mean-Squared-Error: 0.8955701422623467

Iteration: 0 | New Error: 0.8955759009186102

Iteration: 1 | Best Mean-Squared-Error: 0.8955759009186102

Iteration: 0 | New Error: 0.8955215586563705

Iteration: 5 | Best Mean-Squared-Error: 0.8948908818566154

Iteration: 0 | New Error: 0.8955402324930621

Iteration: 1 | Best Mean-Squared-Error: 0.8955402324930621

Iteration: 0 | New Error: 0.8955725782545619

Iteration: 1 | Best Mean-Squared-Error: 0.8955725782545619

Iteration: 0 | New Error: 0.8954501475390714

Iteration: 1 | Best Mean-Squared-Error: 0.8954501475390714

Iteration: 0 | New Error: 0.895953096128396

Iteration: 1 | Best Mean-Squared-Error: 0.895953096128396

Iteration: 0 | New Error: 0.8957730552537595

Iteration: 1 | Best Mean-Squared-Error: 0.8957730552537595

Iteration: 0 | New Error: 0.8954520674486158

Iteration: 1 | Best Mean-Squared-Error: 0.8954520674486158

Iteration: 0 | New Error: 0.8957742072725958

Iteration: 1 | Best Mean-Squared-Error: 0.8957742072725958

Iteration: 0 | New Error: 0.8957356903714232

Iteration: 1 | Best Mean-Squared-Error: 0.8957356903714232

Iteration: 0 | New Error: 0.8954906823377532

Iteration: 1 | Best Mean-Squared-Error: 0.8954906823377532

Iteration: 0 | New Error: 0.896063288539946

Iteration: 1 | Best Mean-Squared-Error: 0.896063288539946

Iteration: 0 | New Error: 0.8954685187343269

Iteration: 1 | Best Mean-Squared-Error: 0.8954685187343269

Iteration: 0 | New Error: 0.8954836535523909

Iteration: 1 | Best Mean-Squared-Error: 0.8954836535523909

Iteration: 0 | New Error: 0.8954477836914414

Iteration: 1 | Best Mean-Squared-Error: 0.8954477836914414

Iteration: 0 | New Error: 0.8954624016056708

Iteration: 1 | Best Mean-Squared-Error: 0.8954624016056708

Iteration: 0 | New Error: 0.8955405706764235

Iteration: 1 | Best Mean-Squared-Error: 0.8955405706764235

Iteration: 0 | New Error: 0.8955903987443575

Iteration: 1 | Best Mean-Squared-Error: 0.8955903987443575

Iteration: 0 | New Error: 0.8956702720979456

Iteration: 1 | Best Mean-Squared-Error: 0.8956702720979456

Iteration: 0 | New Error: 0.8954516339735217

Iteration: 1 | Best Mean-Squared-Error: 0.8954516339735217

Iteration: 0 | New Error: 0.8957157314792289

Iteration: 1 | Best Mean-Squared-Error: 0.8957157314792289

Iteration: 0 | New Error: 0.8954776930754934

Iteration: 1 | Best Mean-Squared-Error: 0.8954776930754934

Iteration: 0 | New Error: 0.8957686135058202

Iteration: 1 | Best Mean-Squared-Error: 0.8957686135058202

Iteration: 0 | New Error: 0.8956646871263753

Iteration: 1 | Best Mean-Squared-Error: 0.8956646871263753

Iteration: 0 | New Error: 0.8954869625254305

Iteration: 1 | Best Mean-Squared-Error: 0.8954869625254305

Iteration: 0 | New Error: 0.8954525823305173

Iteration: 1 | Best Mean-Squared-Error: 0.8954525823305173

Iteration: 0 | New Error: 0.8955431434742211

Iteration: 1 | Best Mean-Squared-Error: 0.8955431434742211

Iteration: 0 | New Error: 0.8964168833002479

Iteration: 1 | Best Mean-Squared-Error: 0.8964168833002479

Iteration: 0 | New Error: 0.8954563639693153

Iteration: 1 | Best Mean-Squared-Error: 0.8954563639693153

Iteration: 0 | New Error: 0.8955505107412104

Iteration: 1 | Best Mean-Squared-Error: 0.8955505107412104

Iteration: 0 | New Error: 0.8957952133035947

Iteration: 1 | Best Mean-Squared-Error: 0.8957952133035947

Iteration: 0 | New Error: 0.8954490485291341

Iteration: 1 | Best Mean-Squared-Error: 0.8954490485291341

Iteration: 0 | New Error: 0.8958327282885986

Iteration: 1 | Best Mean-Squared-Error: 0.8958327282885986

Iteration: 0 | New Error: 0.8954522886029103

Iteration: 5 | Best Mean-Squared-Error: 0.8949297972074415

Iteration: 0 | New Error: 0.8954477035617464

Iteration: 1 | Best Mean-Squared-Error: 0.8954477035617464

Iteration: 0 | New Error: 0.8958653955655915

Iteration: 1 | Best Mean-Squared-Error: 0.8958653955655915

Iteration: 0 | New Error: 0.8956442626534143

Iteration: 1 | Best Mean-Squared-Error: 0.8956442626534143

Iteration: 0 | New Error: 0.8954458629584316

Iteration: 1 | Best Mean-Squared-Error: 0.8954458629584316

Iteration: 0 | New Error: 0.8955531170573058

Iteration: 1 | Best Mean-Squared-Error: 0.8955531170573058

Iteration: 0 | New Error: 0.8955915955952063

Iteration: 1 | Best Mean-Squared-Error: 0.8955915955952063

Iteration: 0 | New Error: 0.8961051470959499

Iteration: 1 | Best Mean-Squared-Error: 0.8961051470959499

Iteration: 0 | New Error: 0.8958299790375823

Iteration: 1 | Best Mean-Squared-Error: 0.8958299790375823

Iteration: 0 | New Error: 0.8954995862146173

Iteration: 1 | Best Mean-Squared-Error: 0.8954995862146173

Iteration: 0 | New Error: 0.89562426120643

Iteration: 1 | Best Mean-Squared-Error: 0.89562426120643

Iteration: 0 | New Error: 0.8954462345766896

Iteration: 1 | Best Mean-Squared-Error: 0.8954462345766896

Iteration: 0 | New Error: 0.8954524474916749

Iteration: 1 | Best Mean-Squared-Error: 0.8954524474916749

Iteration: 0 | New Error: 0.8956171130827225

Iteration: 1 | Best Mean-Squared-Error: 0.8956171130827225

Iteration: 0 | New Error: 0.895445644380748

Iteration: 1 | Best Mean-Squared-Error: 0.895445644380748

Iteration: 0 | New Error: 0.8954518356245671

Iteration: 1 | Best Mean-Squared-Error: 0.8954518356245671

Iteration: 0 | New Error: 0.8955929613930756

Iteration: 1 | Best Mean-Squared-Error: 0.8955929613930756

Iteration: 0 | New Error: 0.8957090020341628

Iteration: 1 | Best Mean-Squared-Error: 0.8957090020341628

Iteration: 0 | New Error: 0.8954555035947267

Iteration: 1 | Best Mean-Squared-Error: 0.8954555035947267

Iteration: 0 | New Error: 0.8954453109604933

Iteration: 1 | Best Mean-Squared-Error: 0.8954453109604933

Iteration: 0 | New Error: 0.8955734075798814

Iteration: 1 | Best Mean-Squared-Error: 0.8955734075798814

Iteration: 0 | New Error: 0.8955181260698755

Iteration: 1 | Best Mean-Squared-Error: 0.8955181260698755

Iteration: 0 | New Error: 0.8957007256263644

Iteration: 1 | Best Mean-Squared-Error: 0.8957007256263644

Iteration: 0 | New Error: 0.8956398124857141

Iteration: 1 | Best Mean-Squared-Error: 0.8956398124857141

Iteration: 0 | New Error: 0.8954954317255142

Iteration: 1 | Best Mean-Squared-Error: 0.8954954317255142

Iteration: 0 | New Error: 0.8956386568100186

Iteration: 1 | Best Mean-Squared-Error: 0.8956386568100186

Iteration: 0 | New Error: 0.8954860431822158

Iteration: 1 | Best Mean-Squared-Error: 0.8954860431822158

Iteration: 0 | New Error: 0.8958431691816134

Iteration: 1 | Best Mean-Squared-Error: 0.8958431691816134

Iteration: 0 | New Error: 0.8955151052859649

Iteration: 1 | Best Mean-Squared-Error: 0.8955151052859649

Iteration: 0 | New Error: 0.8954567772849935

Iteration: 1 | Best Mean-Squared-Error: 0.8954567772849935

Iteration: 0 | New Error: 0.8954636922169751

Iteration: 1 | Best Mean-Squared-Error: 0.8954636922169751

Iteration: 0 | New Error: 0.8954458309229467

Iteration: 1 | Best Mean-Squared-Error: 0.8954458309229467

Iteration: 0 | New Error: 0.8954461330948199

Iteration: 1 | Best Mean-Squared-Error: 0.8954461330948199

Iteration: 0 | New Error: 0.8954876905645756

Iteration: 1 | Best Mean-Squared-Error: 0.8954876905645756

Iteration: 0 | New Error: 0.8956058007669095

Iteration: 1 | Best Mean-Squared-Error: 0.8956058007669095

Iteration: 0 | New Error: 0.8959894608408497

Iteration: 1 | Best Mean-Squared-Error: 0.8959894608408497

Iteration: 0 | New Error: 0.8956757350538221

